S,MLS #,Street Address,Price,DOM,Beds Total,Sq Ft Total,Bths,Lot Size,Postal City,Property Sub Type,Age
S,CRPW22060703,5891 Pontius Court,"$1,600,000 ",,4,"1,348",2|0,"6,000 Lot SqFt",San Jose,Res. Single Family,51
S,CRSW22074064,19600 Caraway Place,"$1,390,000 ",,4,"2,501",2|1,"3,717 Lot SqFt",Morgan Hill,Res. Single Family,6
S,CROC22075329,1440 Mount Diablo Drive,"$985,000 ",,3,"1,000",2|0,"5,000 Lot SqFt",San Jose,Res. Single Family,64
S,CRPTP2202461,555 N 10th Street,"$960,000 ",,3,"1,200",1|0,"9,520 Lot SqFt",San Jose,Res. Single Family,114
S,ML81893571,27729 Briones Court,"$9,335,000 ",0,5,"4,827",4|1,1.00 Acres,Los Altos Hills,Res. Single Family,7
S,ML81893549,1310 Villa Drive,"$7,850,000 ",0,5,"3,793",5|1,"20,037 Lot SqFt",Los Altos,Res. Single Family,16
S,ML81893164,13147 REGAN Lane,"$5,150,000 ",0,4,"2,861",2|1,"14,588 Lot SqFt",Saratoga,Res. Single Family,43
S,ML81893613,690 N California Avenue,"$5,000,000 ",0,3,"2,005",2|0,"7,684 Lot SqFt",Palo Alto,Res. Single Family,83
S,ML81893115,755 Newell Road,"$4,250,000 ",0,3,"2,504",2|1,"10,802 Lot SqFt",Palo Alto,Res. Single Family,47
S,ML81891958,20711 Hanford Drive,"$4,175,000 ",0,5,"3,296",3|1,"9,775 Lot SqFt",Cupertino,Res. Single Family,25
S,ML81891178,464 Cherry Avenue,"$4,000,000 ",0,2,"1,060",1|0,"17,475 Lot SqFt",Los Altos,Res. Single Family,67
S,EB40995805,813 La Crosse Ct ,"$3,600,000 ",0,4,"1,768",2|0,"8,064 Lot SqFt",Sunnyvale,Res. Single Family,61
S,ML81891911,1037 Cynthia Lane,"$2,710,000 ",0,3,"1,240",2|0,"7,072 Lot SqFt",San Jose,Res. Single Family,66
S,ML81895256,1002 Brackett Way,"$2,700,000 ",0,3,"2,331",2|1,"3,702 Lot SqFt",Santa Clara,Res. Single Family,19
S,ML81885805,4568 Winding Way,"$2,660,000 ",0,3,"1,607",2|0,"5,487 Lot SqFt",San Jose,Res. Single Family,58
S,ML81889333,1116 Steinway Avenue,"$2,650,000 ",0,4,"2,175",3|0,"7,874 Lot SqFt",Campbell,Res. Single Family,62
S,ML81887638,230 S Midway Street,"$2,620,000 ",0,3,"2,444",2|0,"12,196 Lot SqFt",Campbell,Res. Single Family,70
S,ML81891984,521 Davenport Court,"$2,550,000 ",0,2,"1,172",2|0,"4,020 Lot SqFt",Sunnyvale,Res. Single Family,54
S,ML81891130,18708 Martha Avenue,"$2,380,000 ",0,3,"1,128",1|0,"11,088 Lot SqFt",Saratoga,Res. Single Family,71
S,SF422649163,807 Iris Avenue,"$2,250,000 ",0,3,"1,312",2|0,"6,561 Lot SqFt",Sunnyvale,Res. Single Family,0
S,ML81895838,1116 Beaumont Drive,"$2,190,000 ",0,4,"1,607",2|0,"6,000 Lot SqFt",San Jose,Res. Single Family,58
S,ML81885265,1488 Darlene Avenue,"$1,999,999 ",0,3,"1,780",2|0,"6,062 Lot SqFt",San Jose,Res. Single Family,71
S,ML81894291,2015 Jeanie Lane,"$1,910,000 ",0,4,"2,188",3|0,1.65 Acres,Gilroy,Res. Single Family,49
S,ML81892266,1533 Puerto Vallarta Drive,"$1,900,000 ",0,4,"1,692",2|0,"7,918 Lot SqFt",San Jose,Res. Single Family,57
S,BE40995592,6262 Mountford Dr ,"$1,606,262 ",0,3,"1,767",2|0,"5,500 Lot SqFt",San Jose,Res. Single Family,53
S,ML81888384,3377 San Rivas Drive,"$1,565,000 ",0,5,"2,089",3|1,"6,106 Lot SqFt",San Jose,Res. Single Family,38
S,ML81894650,9681 Ohlone Way,"$1,500,000 ",0,5,"2,850",3|1,"6,844 Lot SqFt",Gilroy,Res. Single Family,20
S,ML81887220,15560 La Alameda Drive,"$1,405,000 ",0,3,"1,558",2|0,"12,231 Lot SqFt",Morgan Hill,Res. Single Family,54
S,ML81894829,553 Fir Avenue,"$1,400,000 ",0,3,"1,419",2|0,"4,392 Lot SqFt",Sunnyvale,Res. Single Family,70
S,ML81879974,1944 Biscayne Way,"$1,300,000 ",0,4,"1,616",3|0,"6,569 Lot SqFt",San Jose,Res. Single Family,63
S,ML81891530,1827 CREEK Drive,"$1,250,000 ",0,2,"1,167",1|0,"5,336 Lot SqFt",San Jose,Res. Single Family,72
S,ML81888969,1220 Longmeadow Drive,"$1,090,000 ",0,4,"1,735",2|1,"6,810 Lot SqFt",Gilroy,Res. Single Family,29
S,ML81894274,1625 Saralynn Drive,"$1,052,000 ",0,3,"1,204",1|1,"5,044 Lot SqFt",San Jose,Res. Single Family,59
S,ML81893429,1240 Torres Avenue,"$1,050,000 ",0,3,"1,020",2|0,"6,232 Lot SqFt",Milpitas,Res. Single Family,51
S,ML81890751,904 Hellyer Avenue,"$1,000,000 ",0,4,"1,971",2|0,"6,240 Lot SqFt",San Jose,Res. Single Family,49
S,ML81886283,1570 Barberry Court,"$1,000,000 ",0,3,"1,220",2|0,"5,975 Lot SqFt",San Jose,Res. Single Family,43
S,ML81895843,396 Gridley Court,"$915,000 ",0,3,"1,287",2|0,"8,000 Lot SqFt",San Jose,Res. Single Family,49
S,ML81892354,14790 Manuella Road,"$12,000,000 ",1,5,"10,266",8|1,1.10 Acres,Los Altos Hills,Res. Single Family,15
S,ML81889814,481 Carmelita Drive,"$5,300,000 ",1,5,"3,912",4|1,"10,890 Lot SqFt",Mountain View,Res. Single Family,0
S,ML81885620,573 Palo Alto Avenue,"$3,000,000 ",1,3,"1,545",1|0,"7,731 Lot SqFt",Mountain View,Res. Single Family,102
S,ML81888348,1505 Hester Avenue,"$2,888,888 ",1,5,"2,711",4|0,"8,319 Lot SqFt",San Jose,Res. Single Family,5
S,ML81888914,1629 Andalusia Way,"$2,478,000 ",1,4,"1,656",2|0,"6,531 Lot SqFt",San Jose,Res. Single Family,62
S,ML81892769,1352 Bent Drive,"$2,300,000 ",1,3,"1,619",2|0,"9,310 Lot SqFt",Campbell,Res. Single Family,66
S,ML81886288,1184 Adams Court,"$1,975,000 ",1,4,"2,090",2|1,"6,079 Lot SqFt",San Jose,Res. Single Family,52
S,ML81891889,2068 Donnici Street,"$1,500,000 ",1,4,"2,262",3|0,"2,607 Lot SqFt",San Jose,Res. Single Family,17
S,ML81888003,16195 Church Street,"$1,200,000 ",1,3,"2,240",1|0,"9,826 Lot SqFt",Morgan Hill,Res. Single Family,66
S,ML81889763,10431 Observatory Drive,"$1,175,000 ",1,3,"1,888",2|0,"12,917 Lot SqFt",San Jose,Res. Single Family,67
S,ML81886045,2017 Terilyn Avenue,"$1,175,000 ",1,5,"1,872",3|0,"5,844 Lot SqFt",San Jose,Res. Single Family,61
S,ML81894394,5327 Mango Blossom Court,"$1,100,000 ",1,3,"1,536",2|0,"9,120 Lot SqFt",San Jose,Res. Single Family,46
S,ML81887690,1562 Landell Court,"$3,700,000 ",2,3,"1,798",2|0,"14,042 Lot SqFt",Los Altos,Res. Single Family,66
S,ML81892386,2280 Williams Street,"$3,210,000 ",2,3,"1,729",2|0,"5,750 Lot SqFt",Palo Alto,Res. Single Family,96
S,ML81888179,1623 Husted Avenue,"$2,350,000 ",2,4,"1,791",3|0,"6,575 Lot SqFt",San Jose,Res. Single Family,61
S,ML81891994,1341 Duke Way,"$2,300,000 ",2,3,"2,316",2|1,"8,132 Lot SqFt",San Jose,Res. Single Family,59
S,ML81889743,116 Savannah Loop,"$2,200,000 ",2,4,"1,840",3|1,"1,262 Lot SqFt",Mountain View,Res. Single Family,8
S,ML81892973,2864 Riedel Road,"$1,709,000 ",2,3,"1,481",2|0,"7,140 Lot SqFt",San Jose,Res. Single Family,38
S,ML81891412,1532 Willowgate Drive,"$1,700,000 ",2,3,"1,137",2|0,"5,800 Lot SqFt",San Jose,Res. Single Family,65
S,ML81887093,3216 Tenley Drive,"$1,640,000 ",2,3,"1,544",2|1,"4,512 Lot SqFt",San Jose,Res. Single Family,39
S,ML81886499,523 Broderick Drive,"$1,540,000 ",2,4,"1,699",2|0,"6,894 Lot SqFt",San Jose,Res. Single Family,49
S,ME222049963,232 Washington Street,"$880,000 ",2,2,920,1|0,"2,326 Lot SqFt",San Jose,Res. Single Family,0
S,ML81893594,1460 Oakhurst Avenue,"$9,500,000 ",3,5,"5,995",5|1,"18,012 Lot SqFt",Los Altos,Res. Single Family,3
S,ML81883275,1330 Fairway Drive,"$6,200,000 ",3,4,"3,274",4|1,"13,481 Lot SqFt",Los Altos,Res. Single Family,65
S,ML81890534,2010 Sun Mor Avenue,"$5,000,000 ",3,4,"2,995",3|1,"11,825 Lot SqFt",Mountain View,Res. Single Family,5
S,ML81891561,7150 Wooded Lake Drive,"$4,400,000 ",3,5,"4,328",4|0,4.82 Acres,San Jose,Res. Single Family,45
S,ML81883194,1403 Glen Ellen Way,"$4,000,000 ",3,5,"4,686",3|2,"11,762 Lot SqFt",San Jose,Res. Single Family,56
S,ML81891298,811 Channing Avenue,"$3,750,000 ",3,3,"1,446",2|1,"5,192 Lot SqFt",Palo Alto,Res. Single Family,69
S,ML81890641,15930 Orange Blossom Lane,"$3,100,000 ",3,3,"1,284",2|0,"8,208 Lot SqFt",Los Gatos,Res. Single Family,67
S,ML81889869,7055 Glenview Drive,"$3,075,000 ",3,4,"2,875",3|1,"10,459 Lot SqFt",San Jose,Res. Single Family,23
S,ML81888162,1234 Naglee Avenue,"$2,400,000 ",3,3,"1,776",1|0,"12,368 Lot SqFt",San Jose,Res. Single Family,90
S,ML81887402,599 Albion Court,"$1,910,007 ",3,4,"1,881",2|1,"9,394 Lot SqFt",San Jose,Res. Single Family,54
S,ML81886716,2046 Redbush Terrace,"$1,820,000 ",3,2,"1,459",2|0,"5,997 Lot SqFt",San Jose,Res. Single Family,74
S,ML81888609,417 Fenley Avenue,"$1,750,000 ",3,3,960,1|0,"9,629 Lot SqFt",San Jose,Res. Single Family,72
S,ML81891700,21441 Aldercroft Heights,"$1,600,000 ",3,4,"2,016",2|1,1.00 Acres,Los Gatos,Res. Single Family,93
S,ML81891061,4720 Grimsby Drive,"$1,560,000 ",3,4,"1,354",2|0,"5,610 Lot SqFt",San Jose,Res. Single Family,59
S,BE40992537,602 Manzanita Ave ,"$1,550,000 ",3,3,"1,092",1|1,"5,800 Lot SqFt",Sunnyvale,Res. Single Family,69
S,ML81887450,3055 Lynview Drive,"$1,431,875 ",3,3,"1,320",2|0,"6,104 Lot SqFt",San Jose,Res. Single Family,55
S,ML81889101,690 Dawn Way,"$1,420,000 ",3,4,"2,300",3|0,"15,158 Lot SqFt",Gilroy,Res. Single Family,36
S,ML81893147,3552 Aberdeen St. ,"$1,200,000 ",3,4,"1,244",2|0,"5,500 Lot SqFt",Santa Clara,Res. Single Family,61
