Street Address,Postal City,County,Price,Beds Total,Sq Ft Total,Full Bath,Half Bath,Lot Size,Age,State,Lat,Lon,Tract,Total Population,Median Income,Walk Score,Bike Score,Comps,School Rating
7025 Yorktown Drive,Gilroy,Santa Clara,1100000,5,2590,3,0,7094,42,CA,36.9961584,-121.5807248,512512,3650,75915,24,24,360,5.2
16765 Oak View Circle,Morgan Hill,Santa Clara,1720000,5,4510,4,1,24430,45,CA,37.1424809,-121.5954593,512309,5102,139157,11,3,381,5.6
16955 Uvas Road,Morgan Hill,Santa Clara,1750000,6,4357,4,0,48787,40,CA,37.096158,-121.7215498,512200,3837,141538,0,0,402,3.8
1271 Bonino Way,Gilroy,Santa Clara,1250000,4,2489,3,0,4355,5,CA,36.9905181,-121.5839349,512509,7176,147900,4,48,440,5.2
6 Caspian Way,Gilroy,Santa Clara,970000,3,2028,2,1,4764,7,CA,36.9904574,-121.5624878,512509,7176,147900,17,51,443,6
6570 Thames Drive,Gilroy,Santa Clara,1355000,5,2590,3,0,8561,43,CA,36.9935706,-121.5687975,512509,7176,147900,37,54,443,5.2
17570 Blue Jay Drive,Morgan Hill,Santa Clara,1810000,3,5167,4,0,18997,42,CA,37.1558538,-121.6112395,512308,8661,176788,1,8,454,5.6
300 London Drive,Gilroy,Santa Clara,1170000,4,2147,2,0,7123,43,CA,36.9948244,-121.5673706,512509,7176,147900,39,69,467,5.2
7465 Aberdeen Court,Gilroy,Santa Clara,1800000,5,3693,4,1,10990,0,CA,37.0028812,-121.6043749,512510,6790,105598,5,15,479,4.5
9145 Desiderio Way,Gilroy,Santa Clara,1210000,4,2608,3,0,5190,17,CA,37.0292728,-121.5845224,512514,3005,110221,18,64,481,4.5
1935 Saint Andrews Circle,Gilroy,Santa Clara,1850000,6,3843,3,1,8433,23,CA,37.0038166,-121.6022352,512510,6790,105598,3,35,487,4.5
975 Geronimo Street,Gilroy,Santa Clara,1260000,4,2402,3,0,6739,11,CA,37.0345819,-121.6017895,512515,4805,161903,16,48,492,5
7645 Alister Court,Gilroy,Santa Clara,1525000,4,2579,3,0,6882,12,CA,37.0058748,-121.6223823,512200,3837,141538,9,17,496,5
690 Dawn Way,Gilroy,Santa Clara,1420000,4,2300,3,0,15158,36,CA,36.9798207,-121.5728775,512510,6790,105598,1,15,501,6
726 Gage Court,Gilroy,Santa Clara,1300000,4,2635,3,0,6210,14,CA,36.983689,-121.574083,512509,7176,147900,2,47,505,6
1412 Bristlecone Court,Gilroy,Santa Clara,1200000,4,2268,3,0,6900,34,CA,37.0090019,-121.5980672,512510,6790,105598,41,52,505,4.5
7841 Eigleberry Street,Gilroy,Santa Clara,670000,3,1248,1,0,9258,122,CA,37.013427,-121.5733679,512604,4536,83375,91,82,508,5.4
